judgement_from_study_one,anno_1_judgement,anno_2_judgement,anno_final,id
Correct,Correct,Correct,Correct,U0004
Correct,Correct,Correct,Correct,U0018
Correct,Correct,Correct,Correct,U0021
Correct,Correct,Incorrect - Wrong Information,Correct,U0023
Correct,Correct,Correct,Correct,U0034
Correct,Correct,Incorrect - Wrong Information,Correct,U0041
Correct,Correct,Correct,Correct,U0086
Correct,Correct,Correct,Correct,U0089
Correct,Correct,Correct,Correct,U0091
Correct,Correct,Correct,Correct,U0094
Correct,Correct,Correct,Correct,U0118
Correct,Correct,Correct,Correct,U0122
Correct,Correct,Correct,Correct,U0158
Correct,Correct,Incorrect - Wrong Information,Correct,U0172
Correct,Correct,Correct,Correct,U0202
Correct,Correct,Correct,Correct,U0222
Correct,Incorrect - Wrong Information,Correct,Correct,U0250
Correct,Correct,Correct,Correct,U0251
Correct,Correct,Correct,Correct,U0256
Correct,Correct,Correct,Correct,U0275
Correct,Correct,Incorrect - Wrong Information,Correct,U0280
Correct,Correct,Correct,Correct,U0283
Correct,Correct,Correct,Correct,U0309
Correct,Correct,Correct,Correct,U0317
Correct,Correct,Correct,Correct,U0325
Correct,Correct,Correct,Correct,U0348
Correct,Correct,Correct,Correct,U0361
Correct,Correct,Correct,Correct,U0363
Correct,Correct,Correct,Correct,U0393
Correct,Correct,Correct,Correct,U0397
Correct,Correct,Correct,Correct,U0401
Correct,Correct,Correct,Correct,U0422
Correct,Correct,Correct,Correct,U0441
Correct,Correct,Correct,Correct,U0443
Correct,Correct,Correct,Correct,U0449
Correct,Correct,Correct,Correct,U0463
Correct,Correct,Correct,Correct,U0478
Correct,Correct,Correct,Correct,U0489
Correct,Correct,Correct,Correct,U0494
Correct,Correct,Correct,Correct,U0498
Correct,Correct,Correct,Correct,U0501
Incorrect - Wrong Information,Correct,Incorrect - Wrong Information,Incorrect - Wrong Information,U0046
Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,U0119
Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,U0221
Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,U0271
Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,Incorrect - Wrong Information,U0339
