final_judgment,annotator_1,annotator_2,id
Correct,Correct,Correct,U0005
Correct,Correct,Correct,U0007
Correct,Correct,Correct,U0008
Correct,Correct,Correct,U0012
Correct,Correct,Correct,U0015
Correct,Correct,Correct,U0016
Correct,Correct,Correct,U0020
Correct,Correct,Correct,U0025
Correct,Correct,Correct,U0028
Correct,Correct,Correct,U0032
Correct,Correct,Correct,U0033
Correct,Correct,Correct,U0035
Correct,Correct,Correct,U0038
Correct,Correct,Correct,U0043
Correct,Correct,Correct,U0044
Correct,Correct,Correct,U0047
Correct,Correct,Correct,U0048
Correct,Correct,Correct,U0049
Correct,Correct,Correct,U0051
Correct,Correct,Correct,U0053
Correct,Correct,Correct,U0057
Correct,Correct,Correct,U0059
Correct,Correct,Correct,U0062
Correct,Correct,Correct,U0063
Correct,Correct,Correct,U0064
Correct,Correct,Correct,U0065
Correct,Correct,Correct,U0066
Correct,Correct,Correct,U0067
Correct,Correct,Correct,U0072
Correct,Correct,Correct,U0073
Correct,Correct,Correct,U0075
Correct,Correct,Correct,U0076
Correct,Correct,Correct,U0077
Correct,Correct,Correct,U0078
Correct,Correct,Correct,U0079
Correct,Correct,Correct,U0082
Correct,Correct,Correct,U0083
Correct,Correct,Correct,U0084
Correct,Correct,Correct,U0085
Correct,Correct,Correct,U0087
Correct,Correct,Correct,U0093
Correct,Correct,Correct,U0095
Correct,Correct,Correct,U0097
Correct,Correct,Correct,U0098
Correct,Correct,Correct,U0099
Correct,Correct,Correct,U0101
Correct,Correct,Correct,U0103
Correct,Correct,Correct,U0104
Correct,Correct,Correct,U0105
Correct,Correct,Correct,U0106
Correct,Correct,Correct,U0109
Correct,Correct,Correct,U0110
Correct,Correct,Correct,U0114
Correct,Correct,Correct,U0115
Correct,Correct,Correct,U0121
Correct,Correct,Correct,U0125
Correct,Correct,Correct,U0131
Correct,Correct,Correct,U0138
Correct,Correct,Correct,U0140
Correct,Correct,Correct,U0170
Correct,Correct,Correct,U0171
Correct,Correct,Correct,U0177
Correct,Correct,Correct,U0183
Correct,Correct,Correct,U0195
Correct,Correct,Correct,U0196
Correct,Correct,Correct,U0197
Correct,Correct,Correct,U0198
Correct,Correct,Correct,U0199
Correct,Correct,Correct,U0201
Correct,Correct,Correct,U0203
Correct,Correct,Correct,U0213
Correct,Correct,Correct,U0218
Correct,Correct,Correct,U0223
Correct,Correct,Correct,U0228
Correct,Correct,Correct,U0229
Correct,Correct,Correct,U0230
Correct,Correct,Correct,U0231
Correct,Correct,Correct,U0236
Correct,Correct,Correct,U0242
Correct,Correct,Correct,U0243
Correct,Correct,Correct,U0245
Correct,Correct,Correct,U0254
Correct,Correct,Correct,U0255
Correct,Correct,Correct,U0257
Correct,Correct,Correct,U0258
Correct,Correct,Correct,U0261
Correct,Correct,Correct,U0263
Correct,Correct,Correct,U0264
Correct,Correct,Correct,U0268
Correct,Correct,Correct,U0269
Correct,Correct,Correct,U0273
Correct,Correct,Correct,U0274
Correct,Correct,Correct,U0276
Correct,Correct,Correct,U0277
Correct,Correct,Correct,U0279
Correct,Correct,Correct,U0281
Correct,Correct,Correct,U0282
Correct,Correct,Correct,U0284
Correct,Correct,Correct,U0285
Correct,Correct,Correct,U0286
Correct,Correct,Correct,U0288
Correct,Correct,Correct,U0289
Correct,Correct,Correct,U0292
Correct,Correct,Correct,U0293
Correct,Correct,Correct,U0296
Correct,Correct,Correct,U0297
Correct,Correct,Correct,U0298
Correct,Correct,Correct,U0299
Correct,Correct,Correct,U0300
Correct,Correct,Correct,U0301
Correct,Correct,Correct,U0312
Correct,Correct,Correct,U0314
Correct,Correct,Correct,U0320
Correct,Correct,Correct,U0322
Correct,Correct,Correct,U0323
Correct,Correct,Correct,U0327
Correct,Correct,Correct,U0332
Correct,Correct,Correct,U0334
Correct,Correct,Correct,U0335
Correct,Correct,Correct,U0337
Correct,Correct,Correct,U0338
Correct,Correct,Correct,U0342
Correct,Correct,Correct,U0358
Correct,Correct,Correct,U0359
Correct,Correct,Correct,U0360
Correct,Correct,Correct,U0364
Correct,Correct,Correct,U0366
Correct,Correct,Correct,U0369
Correct,Correct,Correct,U0370
Correct,Correct,Correct,U0372
Correct,Correct,Correct,U0373
Correct,Correct,Correct,U0374
Correct,Correct,Correct,U0375
Correct,Correct,Correct,U0376
Correct,Correct,Correct,U0382
Correct,Correct,Correct,U0383
Correct,Correct,Correct,U0384
Correct,Correct,Correct,U0385
Correct,Correct,Correct,U0387
Correct,Correct,Correct,U0388
Correct,Correct,Correct,U0389
Correct,Correct,Correct,U0390
Correct,Correct,Correct,U0392
Correct,Correct,Correct,U0394
Correct,Correct,Correct,U0395
Correct,Correct,Correct,U0396
Correct,Correct,Correct,U0398
Correct,Correct,Correct,U0399
Correct,Correct,Correct,U0400
Correct,Correct,Correct,U0402
Correct,Correct,Correct,U0403
Correct,Correct,Correct,U0404
Correct,Correct,Correct,U0405
Correct,Correct,Correct,U0406
Correct,Correct,Correct,U0407
Correct,Correct,Correct,U0408
Correct,Correct,Correct,U0409
Correct,Correct,Correct,U0410
Correct,Correct,Correct,U0411
Correct,Correct,Correct,U0412
Correct,Correct,Correct,U0414
Correct,Correct,Correct,U0418
Correct,Correct,Correct,U0419
Correct,Correct,Correct,U0424
Correct,Correct,Correct,U0425
Correct,Correct,Correct,U0429
Correct,Correct,Correct,U0431
Correct,Correct,Correct,U0433
Correct,Correct,Correct,U0437
Correct,Correct,Correct,U0438
Correct,Correct,Correct,U0440
Correct,Correct,Correct,U0442
Correct,Correct,Correct,U0446
Correct,Correct,Correct,U0451
Correct,Correct,Correct,U0466
Correct,Correct,Correct,U0468
Correct,Correct,Correct,U0473
Correct,Correct,Correct,U0480
Correct,Correct,Correct,U0481
Correct,Correct,Correct,U0482
Correct,Correct,Correct,U0484
Correct,Correct,Correct,U0486
Correct,Correct,Correct,U0488
Correct,Correct,Correct,U0496
Correct,Correct,Correct,U0497
Correct,Correct,Correct,U0499
Correct,Correct,Correct,U0505
Correct,Correct,Correct,U0509
Correct,Correct,Correct,U0512
Correct,Correct,Correct,U0514
Correct,Correct,Correct,U0515
Correct,Correct,Correct,U0519
Correct,Correct,Correct,U0521
Correct,Correct,Correct,U0522
Correct,Correct,Correct,U0525
Correct,Correct,Correct,U0527
Correct,Correct,Correct,U0528
Incorrect,Incorrect,Correct,U0009
Correct,Incorrect,Correct,U0058
Correct,Incorrect,Correct,U0108
Incorrect,Incorrect,Correct,U0113
Correct,Incorrect,Correct,U0130
Incorrect,Incorrect,Correct,U0160
Incorrect,Incorrect,Correct,U0266
Correct,Incorrect,Correct,U0267
Incorrect,Incorrect,Correct,U0321
Correct,Incorrect,Correct,U0336
Correct,Incorrect,Correct,U0371
Correct,Incorrect,Correct,U0377
Correct,Incorrect,Correct,U0379
Correct,Incorrect,Correct,U0417
Incorrect,Incorrect,Correct,U0421
Incorrect,Incorrect,Correct,U0423
Correct,Incorrect,Correct,U0432
Incorrect,Incorrect,Correct,U0436
Correct,Incorrect,Correct,U0439
Incorrect,Incorrect,Correct,U0453
Incorrect,Incorrect,Correct,U0474
Incorrect,Incorrect,Correct,U0479
Correct,Incorrect,Correct,U0517
Correct,Incorrect,Correct,U0518
Correct,Incorrect,Correct,U0127
Incorrect,Incorrect,Correct,U0142
Incorrect,Incorrect,Correct,U0143
Correct,Incorrect,Correct,U0167
Correct,Incorrect,Correct,U0168
Incorrect,Incorrect,Correct,U0169
Correct,Incorrect,Correct,U0180
Incorrect,Incorrect,Correct,U0184
Correct,Incorrect,Correct,U0185
Correct,Incorrect,Correct,U0186
Correct,Incorrect,Correct,U0194
Correct,Incorrect,Correct,U0204
Correct,Incorrect,Correct,U0206
Correct,Incorrect,Correct,U0207
Correct,Incorrect,Correct,U0215
Correct,Incorrect,Correct,U0240
